model,rmse,mae,r2
LSTM,6190.68390112946,1305.5503673366218,0.9571774149727044
XGBoost,10185.651691278845,475.45870577254186,0.8840760252491385
CatBoost,12195.924547582696,935.8043643035062,0.8338022731695257
